iter	Passed	Remaining
0	3	3165
1	6	3306
2	9	3318
3	13	3298
4	16	3265
5	19	3270
6	23	3267
7	26	3259
8	29	3243
9	32	3251
10	36	3254
11	39	3245
12	42	3258
13	45	3230
14	49	3225
15	52	3216
16	55	3222
17	58	3218
18	62	3214
19	65	3213
20	68	3208
21	72	3204
22	75	3202
23	78	3205
24	82	3203
25	85	3199
26	88	3193
27	91	3192
28	95	3193
29	98	3193
30	102	3190
31	105	3185
32	108	3181
33	111	3177
34	115	3173
35	118	3170
36	121	3166
37	124	3160
38	128	3154
39	131	3151
40	134	3155
41	138	3156
42	141	3150
43	145	3152
44	148	3145
45	151	3146
46	155	3147
47	158	3145
48	161	3138
49	164	3134
50	168	3133
51	171	3131
52	175	3127
53	178	3121
54	181	3120
55	184	3117
56	188	3116
57	191	3114
58	195	3112
59	198	3105
60	201	3097
61	204	3093
62	208	3094
63	211	3090
64	214	3085
65	217	3081
66	221	3079
67	224	3074
68	227	3073
69	230	3068
70	234	3064
71	237	3060
72	240	3055
73	244	3053
74	247	3050
75	250	3046
76	253	3044
77	257	3041
78	260	3036
79	263	3031
80	266	3027
81	270	3024
82	273	3018
83	276	3015
84	279	3011
85	282	3006
86	286	3003
87	289	2997
88	292	2993
89	295	2990
90	299	2987
91	302	2989
92	306	2986
93	309	2982
94	312	2977
95	315	2973
96	318	2967
97	321	2962
98	325	2959
99	328	2958
100	331	2952
101	334	2947
102	338	2944
103	341	2941
104	344	2937
105	347	2934
106	351	2931
107	354	2930
108	357	2925
109	361	2922
110	364	2920
111	367	2916
112	371	2914
113	374	2910
114	377	2908
115	381	2904
116	384	2900
117	387	2895
118	390	2891
119	394	2889
120	397	2886
121	400	2882
122	404	2880
123	407	2877
124	410	2875
125	413	2871
126	417	2868
127	420	2864
128	423	2861
129	427	2857
130	430	2852
131	433	2848
132	436	2845
133	439	2842
134	443	2840
135	446	2837
136	449	2832
137	453	2830
138	456	2827
139	459	2823
140	462	2819
141	466	2815
142	468	2810
143	472	2806
144	475	2803
145	478	2799
146	481	2795
147	484	2791
148	488	2789
149	491	2786
150	494	2783
151	498	2780
152	501	2776
153	504	2772
154	507	2767
155	510	2764
156	514	2760
157	517	2756
158	520	2753
159	523	2749
160	527	2746
161	530	2743
162	533	2738
163	536	2735
164	539	2732
165	543	2729
166	546	2726
167	550	2724
168	553	2721
169	557	2719
170	560	2717
171	563	2714
172	567	2710
173	570	2707
174	573	2703
175	576	2700
176	580	2697
177	583	2693
178	586	2690
179	589	2687
180	593	2683
181	596	2679
182	599	2676
183	603	2674
184	606	2672
185	609	2669
186	613	2666
187	616	2664
188	620	2661
189	623	2657
190	626	2654
191	629	2650
192	632	2646
193	636	2643
194	639	2639
195	643	2637
196	646	2634
197	649	2630
198	652	2627
199	656	2624
200	659	2621
201	662	2618
202	666	2615
203	669	2611
204	672	2609
205	676	2605
206	679	2602
207	682	2599
208	685	2596
209	689	2592
210	692	2590
211	696	2587
212	699	2584
213	702	2580
214	705	2576
215	708	2573
216	712	2569
217	715	2566
218	718	2563
219	721	2559
220	725	2556
221	728	2553
222	731	2549
223	735	2546
224	738	2544
225	742	2541
226	745	2538
227	748	2534
228	751	2531
229	755	2527
230	758	2525
231	761	2521
232	765	2518
233	768	2514
234	771	2511
235	774	2507
236	778	2505
237	781	2501
238	784	2498
239	787	2493
240	790	2490
241	794	2487
242	797	2483
243	800	2479
244	803	2475
245	806	2471
246	809	2468
247	812	2464
248	815	2460
249	819	2457
250	822	2454
251	825	2449
252	828	2446
253	831	2442
254	834	2438
255	837	2434
256	840	2430
257	844	2427
258	847	2424
259	850	2420
260	853	2416
261	856	2412
262	859	2409
263	863	2406
264	866	2402
265	869	2398
266	872	2395
267	875	2392
268	878	2388
269	882	2385
270	885	2381
271	888	2378
272	891	2374
273	894	2371
274	898	2367
275	901	2364
276	904	2360
277	907	2356
278	910	2353
279	914	2350
280	917	2347
281	920	2344
282	924	2341
283	927	2337
284	930	2333
285	933	2330
286	936	2326
287	939	2323
288	943	2320
289	946	2317
290	949	2313
291	952	2310
292	955	2306
293	959	2302
294	962	2299
295	965	2295
296	968	2292
297	971	2289
298	974	2285
299	977	2281
300	981	2278
301	984	2274
302	987	2270
303	990	2268
304	994	2265
305	997	2262
306	1000	2258
307	1003	2255
308	1006	2251
309	1009	2248
310	1013	2245
311	1016	2242
312	1019	2238
313	1023	2235
314	1026	2231
315	1029	2228
316	1032	2224
317	1035	2221
318	1039	2218
319	1042	2214
320	1045	2211
321	1048	2207
322	1051	2204
323	1054	2200
324	1058	2197
325	1061	2193
326	1064	2190
327	1067	2187
328	1070	2184
329	1074	2180
330	1077	2177
331	1080	2173
332	1083	2170
333	1086	2166
334	1089	2163
335	1092	2159
336	1096	2156
337	1099	2153
338	1102	2149
339	1105	2146
340	1108	2142
341	1112	2139
342	1115	2135
343	1118	2132
344	1121	2129
345	1124	2125
346	1127	2122
347	1131	2119
348	1134	2116
349	1137	2113
350	1141	2109
351	1144	2106
352	1147	2102
353	1150	2099
354	1154	2096
355	1157	2093
356	1160	2090
357	1163	2087
358	1167	2083
359	1170	2080
360	1173	2077
361	1176	2074
362	1180	2071
363	1183	2067
364	1186	2064
365	1189	2061
366	1193	2057
367	1196	2054
368	1199	2051
369	1202	2048
370	1206	2044
371	1209	2041
372	1212	2038
373	1216	2035
374	1219	2031
375	1222	2028
376	1225	2025
377	1229	2022
378	1232	2019
379	1235	2016
380	1238	2012
381	1242	2009
382	1245	2006
383	1248	2003
384	1252	2000
385	1255	1997
386	1258	1994
387	1262	1990
388	1265	1987
389	1268	1983
390	1271	1980
391	1275	1977
392	1278	1974
393	1281	1971
394	1285	1968
395	1288	1964
396	1291	1960
397	1294	1958
398	1297	1954
399	1301	1951
400	1304	1948
401	1307	1945
402	1311	1942
403	1314	1939
404	1318	1936
405	1321	1933
406	1324	1930
407	1328	1927
408	1331	1923
409	1334	1921
410	1338	1918
411	1341	1914
412	1345	1911
413	1348	1908
414	1351	1905
415	1354	1902
416	1358	1899
417	1361	1896
418	1365	1892
419	1368	1889
420	1371	1886
421	1375	1883
422	1379	1881
423	1382	1878
424	1385	1875
425	1389	1872
426	1392	1869
427	1396	1865
428	1399	1862
429	1402	1859
430	1406	1856
431	1410	1854
432	1413	1851
433	1417	1848
434	1420	1845
435	1424	1842
436	1427	1839
437	1431	1836
438	1434	1833
439	1438	1830
440	1441	1827
441	1444	1823
442	1448	1820
443	1451	1818
444	1455	1814
445	1458	1811
446	1462	1808
447	1465	1805
448	1468	1802
449	1472	1799
450	1475	1796
451	1479	1793
452	1482	1790
453	1486	1787
454	1489	1784
455	1492	1781
456	1496	1778
457	1499	1774
458	1503	1771
459	1506	1768
460	1510	1765
461	1513	1762
462	1516	1759
463	1520	1755
464	1523	1753
465	1527	1750
466	1530	1747
467	1534	1744
468	1537	1741
469	1540	1737
470	1544	1734
471	1547	1731
472	1550	1728
473	1554	1724
474	1557	1721
475	1560	1718
476	1564	1715
477	1567	1711
478	1570	1708
479	1573	1705
480	1577	1701
481	1580	1698
482	1583	1695
483	1587	1692
484	1590	1689
485	1594	1685
486	1597	1682
487	1600	1679
488	1604	1676
489	1607	1672
490	1610	1669
491	1613	1666
492	1617	1662
493	1619	1659
494	1623	1656
495	1626	1653
496	1630	1649
497	1633	1646
498	1636	1643
499	1639	1639
500	1643	1636
501	1646	1633
502	1649	1629
503	1652	1626
504	1656	1623
505	1659	1620
506	1663	1617
507	1666	1613
508	1669	1610
509	1673	1607
510	1676	1604
511	1679	1601
512	1683	1597
513	1686	1594
514	1689	1591
515	1693	1588
516	1696	1584
517	1699	1581
518	1703	1578
519	1706	1575
520	1709	1571
521	1713	1568
522	1716	1565
523	1719	1562
524	1723	1559
525	1726	1555
526	1729	1552
527	1733	1549
528	1736	1546
529	1739	1542
530	1743	1539
531	1746	1536
532	1750	1533
533	1753	1530
534	1756	1526
535	1759	1523
536	1763	1520
537	1766	1516
538	1769	1513
539	1773	1510
540	1776	1507
541	1779	1504
542	1783	1500
543	1786	1497
544	1790	1494
545	1793	1491
546	1796	1487
547	1800	1484
548	1803	1481
549	1806	1478
550	1810	1475
551	1813	1471
552	1817	1468
553	1820	1465
554	1824	1462
555	1827	1459
556	1831	1456
557	1834	1452
558	1837	1449
559	1841	1446
560	1844	1443
561	1847	1439
562	1850	1436
563	1854	1433
564	1857	1430
565	1860	1426
566	1863	1423
